Patent_ID,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA11,PCA12,PCA13,PCA14,PCA15,PCA16,PCA17,PCA18,PCA19,PCA20,PCA21,PCA22,PCA23,PCA24,PCA25,PCA26,PCA27,PCA28,PCA29,PCA30
CN200310117820.0,-0.0530291483691887,0.0377871282948726,0.0117286739394348,0.0155138984597965,-0.0622277899280264,0.0435525749850913,-0.0366174383632172,-0.0329803405504678,-0.022027896405666,-0.0164832958646899,-0.0293869631051518,0.0123143064937834,0.0256876188004938,0.008546457943671,-0.0235795470452892,-0.0115736817810165,-0.0210777981510048,-0.1685770798373608,0.0403973275476216,0.0827325402765868,-0.0990747176304127,-0.0598520986100311,-0.0434777725959402,-0.0024890326607188,0.2134670335714462,-9.675750023309432e-05,-0.0914687164351442,-0.0900688782442041,0.1151172682651504,-0.0307714895120108
US6463950B1,0.1781865037388556,-0.1658865846292683,0.0693874238325132,0.0850234276086443,0.2160727364778005,0.1626953870695464,-0.0279051439401336,-0.0196139844025039,-0.2963587568598283,-0.05092507261073,-0.0647092391288558,0.0168202558684573,-0.2679902883908161,-0.0739293699370053,-0.0718834476277109,-0.1698215430682378,-0.2337052307269257,0.1128211475023118,0.0667682489119492,0.019927950617769,-0.0709228490588064,-0.0966329364347575,-0.064723209298352,0.0045883261951708,0.0377583696059778,-0.0945726553592258,-0.0315827912901324,-0.0839780061510989,-0.0915343114895604,0.1033078532981191
EP1645931A1,0.2524967085039953,0.0928246964128366,-0.0699773072076978,0.1319717233825698,0.1766292382068728,0.1980943240768478,-0.1391377894337624,0.164482503008755,-0.2999298544759867,0.1370161068779799,0.0261567696663439,0.0335911706207874,-0.0536424841485953,-0.0004519117056126,-0.0248422461819917,0.066856888168411,0.0104889063849118,0.0033861650177124,-0.0022162515793144,-0.0425241433527366,0.0216614335676367,0.0994786047069313,0.0566614601612612,0.0309674398435465,-0.1237346803994227,0.0687989186159738,-0.0360929214261598,0.1020257828697553,-0.0551759581817739,-0.0512238799412649
CN200610111707.5,-0.1456716941946077,-0.0711726613002081,-0.0360598400985094,-0.002849884232335,-0.0251727834581759,-0.0459229581167432,0.0368581287828692,-0.0789160369315813,-0.1315523966359607,-0.0842234783972677,-0.0928582328012428,-0.0551593047449616,0.0838405636637731,-0.0862387215060696,-0.0412892272802929,-0.2107732880984272,0.0861523770582535,-0.1621713861797546,0.1359353890949233,0.0129465981142669,0.3225493066702978,0.1062010226850258,-0.1311213344981445,0.123476540749622,-0.1115696352360819,0.0300313015023466,0.0724235773663896,-0.0389018946966158,-0.0421280485014548,-0.0349908958786069
US7343408B2,0.2203046075516353,-0.0188889943429536,0.0016623873730439,0.110651032545716,0.0855356368192288,-0.0516501390390438,-0.0299895390681683,-0.1511892086712249,-0.0368319270319865,-0.0601157949882959,0.1248656566646048,-0.0236744987198302,-0.0157946751394885,0.0575395318435929,0.1407263720103912,-0.0573882349835365,0.0721364692505233,0.0004089192970466,0.2234650517554686,0.0058417902167203,0.1384194806109149,-0.0617143247188897,0.0587767793671522,-0.0795927470020029,0.0754676009112726,0.04766506289113,0.1064662448199705,0.0304727117390529,0.0226157829470869,0.1102972910649979
US6246736B1,0.0389088691353348,-0.0090198263885683,0.0411121195551517,0.0447907723004519,-0.0522741528544396,0.064123081491437,0.0302397240401315,-0.0381602928129874,-0.0137636440949269,0.0658018945449152,-0.2179536336067807,0.1683236023099416,-0.0142988923045839,-0.0032196239341201,-0.1177298416429457,0.2367074152625393,0.3086544064563712,-0.0726931277101355,-0.0217579490339652,-0.191840905368551,0.104585461269343,-0.0441688829138795,0.0149767164321736,-0.1390798395299922,-0.0159364257624517,-0.0294973310562891,-0.0648899076674141,0.1022796316001878,0.0381810098651048,0.0694561060256665
CN1605202A,0.026228156545278,-0.0057212804204996,-0.0500763572587025,0.0430600945996658,0.073235595684025,0.1395873413431919,-0.0384414927541577,0.0188118176997103,0.0575046040351272,-0.0606212860935322,-0.0102405802184106,0.0198358069451338,0.1915369651511609,0.0167380301999406,0.1849549746910874,-0.0330806881824291,0.0645847198084053,-0.0170207650147235,0.0357775730091076,0.0309537991767631,-0.1598700055374362,-0.17625866267002,-0.2280766338582246,-0.0539456757445564,0.0657566431928006,0.0966448958925439,0.1397018452215887,0.0996339038397622,0.1692678508496531,0.002874095135223
CN200410097130.8,-0.2172345631898542,0.3943149344178409,0.4654064494815962,-0.1029130673043455,0.229276795413012,-0.0924059846172095,0.0187216484825096,0.1964282289288446,0.0177694675127563,-0.1215679745175583,0.0090295744377982,-0.0962437810375104,-0.0082799612843441,-0.0005213876879394,0.0501282547798044,-0.0722920431597018,0.0227409084275038,-0.0303607849583666,0.0261334377890357,-0.0364222999775266,0.0417668318093385,0.0237146188141842,0.0071290518429083,0.017837330536091,0.0239465981498562,-0.0317955098293058,-0.0445063487959811,0.0369937960668979,-0.0873274986800801,0.018013132107354
CN200610089272.9,-0.1818592174026927,0.1009608467322632,0.0220533256018079,0.0180128552528162,-0.0443498295277605,-0.1056345591942565,0.0568739665196531,-0.0535463541835736,-0.1495033922236646,-0.0202629282163753,0.0297380238504507,0.3703577437685096,0.1971988834463708,-0.107942264834225,-0.0992143913286088,-0.006408841904974,-0.2213091521274553,0.0085804287979359,0.0833200241527435,-0.2316858636154204,-0.18489075322961,0.1211658294313234,0.1168377524800929,-0.0664744019472029,0.0355276987653227,0.0204204935706434,0.0006819571537727,0.0405953520032481,0.067668261332514,0.0024112885425241
CN200610075787.3,-0.0885576627647525,0.1343793045593069,-0.0125611450388322,-0.0149771520886158,-0.2624151896310897,0.0852196544284085,-0.1894579243876963,-0.0713966334005652,0.0772597111127186,0.0912206371663454,0.1880701232185538,0.1030238115421124,-0.118577936016535,-0.0815271573929641,0.0044340466306006,-0.0270124324873916,-0.1221278299362209,0.0786162721724414,-0.0058495272209444,-0.0501066965044827,0.1321283438491513,-0.1452602740261331,0.1396169156043271,0.2285153832686496,-0.0329763180177284,-0.0929557502866683,-0.0083293780426601,0.0072810705497545,0.0510237092388854,-0.0945099743274494
